díogach,diːɡəx
dream,dræm
colfarsach,kɔlfarsax
rosán,rɔsán
baothdhóchas,baɔhɣɔ́xas
bodairlín,bɔdaːrlɪ́n
cromadach,krɔmadax
tóirpín,tɔ́ɪrpɪ́n
trádainm,trádaːnm
liagóir,lɪaɡɔ́ɪr
streabhóg,strævɔ́ɡ
ationóil,atɔːnɔ́ɪl
cuibhiúil,kʊɪvɪʊ́ɪl
scódaí,skɔ́daː́
gnéasnascadh,ɡnɛ́asnaskaɣ
urraitheoir,ʊrˠaːhɔːɪr
éadomhaiseach,ɛ́adɔvaːsæx
heorastaic,hɔːrastaːk
lármheán,lárvǽn
crómaitin,krɔ́maːtɪn
próitéin,prɔ́ɪtɛ́ɪn
bochar,bɔxar
dianscaoilteoir,dɪanskaɪːltɔːɪr
potbhiathaigh,pɔtvɪahaːɣ
gníomh,ɡnɪ́ɔv
marbhstad,marvstad
dóiteánaí,dɔ́ɪtǽnaː́
ré talamh,rɛ́ talav
taithí,taːhɪ́
tuineadóir,tʊɪnædɔ́ɪr
losainn,lɔsaːnˠ
peicteach,pɛɪktæx
sleaic,slæːk
milteog,mɪltɔːɡ
cómhalairt,kɔ́valaːrt
sciathánach,skɪahánax
foghraí,fɔɣraː́
úráiniam,ʊ́ráɪnɪam
boigéis,bɪːɡɛ́ɪs
dearglaoch,dærɡlaɔx
eispéireasaí,ɛɪspɛ́ɪræsaː́
athóige,ahɔ́ɪɡɛ
easaontas,æsaɔntas
béad,bɛ́ad
síleálach,sɪ́lǽlax
imchuach,ɪmxʊəx
bórás,bɔ́rás
réiltíneach,rɛ́ɪltɪ́næx
meathghlór,mæhɣlɔ́r
gáirsiúlacht,ɡáɪrsɪʊ́laxt
neamhghlórmhar,nævɣlɔ́rvar
donndearg,dɔnˠdærɡ
scaipeach,skaːpæx
clogchuar,klɔɡxʊər
roicéad,rɪːkɛ́ad
grugach,ɡrʊɡax
fóilió,fɔ́ɪlɔː́
asarlaíocht,asarlaː́ɔxt
sceidhreog,skɛɪɣrɔːɡ
púcúil,pʊ́kʊ́ɪl
aicearracht,aːkærˠaxt
botaí,bɔtaː́
pocaide,pɔkaːdɛ
piocadh,pɔːkaɣ
srannach,sranˠax
claonmhéadar,klaɔnvɛ́adar
adhaltranas,aɣaltranas
biorshrónach,bɔːrhrɔ́nax
séinne,sɛ́ɪnˠɛ
athlamh,ahlav
meabhal,mæval
neamhiarmhairt,nævɪarvaːrt
góchruth,ɡɔ́xrʊh
giarbhosca,ɡɪarvɔska
molaibdéineam,mɔlaːbdɛ́ɪnæm
geatóir,ɡætɔ́ɪr
faonlag,faɔnlaɡ
broic,brɪːk
seanscéalaí,sænskɛ́alaː́
toghchánaíocht,tɔɣxánaː́ɔxt
cailleachas,kaːlˠæxas
sceideal,skɛɪdæl
fudairnéis,fʊdaːrnɛ́ɪs
síománaíocht,sɪ́ɔmánaː́ɔxt
fód,fɔ́d
gliogairnéiseach,ɡlɔːɡaːrnɛ́ɪsæx
folaigh,fɔlaːɣ
cnaíteach,knaː́tæx
tuathalacht,tʊəhalaxt
spíonach,spɪ́ɔnax
scuitseálaí,skʊɪtsǽlaː́
scabhaitéir,skavaːtɛ́ɪr
útamálaí,ʊ́tamálaː́
dúrabhán,dʊ́raván
pianó,pɪanɔ́
sacraimintiúil,sakraːmɪntɪʊ́ɪl
daíocht,daː́ɔxt
forsheomra,fɔrhɔːmra
fústar,fʊ́star
géirín,ɡɛ́ɪrɪ́n
scriotharnach,skrɔːharnax
ceáfar,kǽfar
peil,pɛɪl
muiroighear,mʊɪrɪːɣær
lándícheall,lándɪ́xælˠ
neamhthaibhseach,nævhaːvsæx
plabaireacht,plabaːræxt
saincheadúnaigh,saːnxædʊ́naːɣ
spiagaí,spɪaɡaː́
mí-úsáid,mɪ́-ʊ́sáɪd
fileata,fɪlæta
cróilí,krɔ́ɪlɪ́
aerbhonn,aɛrvɔnˠ
preabánach,præbánax
múiscealach,mʊ́ɪskælax
únfairteach,ʊ́nfaːrtæx
brúiteoir,brʊ́ɪtɔːɪr
déadeagar,dɛ́adæɡar
cruinn,krʊɪnˠ
póirín,pɔ́ɪrɪ́n
fíochta,fɪ́ɔxta
burlaire,bʊrlaːrɛ
fíréanta,fɪ́rɛ́anta
hidridinimic,hɪdrɪdɪnɪmɪk
inphléascadh,ɪnflɛ́askaɣ
seoimrín,sɔːɪmrɪ́n
