díogach,diːɡəx
idirlinn,ɪdɪrlɪnˠ
aitéiriscléaróis,aːtɛɪrɪsklɛarɔɪs
forleithne,fɔrlɛɪhnɛ
ainmhian,aːnvɪan
cóbalt,kɔbalt
corpoiliúint,kɔrpɪːlɪʊɪnt
sreangadóir,srænɡadɔɪr
seiric,sɛɪrɪk
báire,baɪrɛ
péacánach,pɛakanax
eala,æla
ardcheann,ardxænˠ
bearnaíl,bærnaːl
státchiste,statxɪstɛ
bolgam,bɔlɡam
eitneacht,ɛɪtnæxt
cúrsaigh,kʊrsaːɣ
reáchtáil,rǽxtaɪl
teiliprintéir,tɛɪlɪprɪntɛɪr
scairbharántas,skaːrvarantas
sciata,skɪata
uathoibriú,ʊəhɪːbrɪʊ
smíochtóir,smɪɔxtɔɪr
canúáil,kanʊaɪl
leadán,lædan
glúinfheacadh,ɡlʊɪnækaɣ
buachalán,bʊəxalan
gaobhardach,ɡaɔvardax
ollbhille,ɔlˠvɪlˠɛ
meill,mɛɪlˠ
cúlfhiacail,kʊlɪakaːl
cilibheart,kɪlɪvært
bia-eolaíocht,bɪa-ɔːlaːɔxt
ullmhaitheach,ʊlˠvaːhæx
Giúdach,gɪʊdax
diachair,dɪaxaːr
cabhaileog,kavaːlɔːɡ
buitléireacht,bʊɪtlɛɪræxt
comhthonachas,kɔvhɔnaxas
coimhlinteach,kɪːvlɪntæx
ailbíneach,aːlbɪnæx
smuigín,smʊɪɡɪn
nogadh,nɔɡaɣ
plucáil,plʊkaɪl
callas,kalˠas
maindilín,maːndɪlɪn
luascáil,lʊəskaɪl
comhthomhaiseach,kɔvhɔvaːsæx
tuathghríosú,tʊəhɣrɪɔsʊ
torpa,tɔrpa
cuandú,kʊəndʊ
iomasachas,ɔːmasaxas
gluaisteach,ɡlʊəːstæx
móibíl,mɔɪbɪl
faraire,faraːrɛ
tachtach,taxtax
láínteacht,laɪntæxt
leathphunt,læhfʊnt
stíleáil,stɪlǽɪl
fraecsálaí,fraɛksalaː
éagaoine,ɛaɡaɪːnɛ
suthach,sʊhax
tríphlána,trɪflana
gónad,ɡɔnad
plancord,plankɔrd
triail,trɪaːl
banúlacht,banʊlaxt
deimheasach,dɛɪvæsax
